time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T06:28:58.256Z,ZEC,B,413.730000,0.18000000,0.003996,T
2025-11-05T06:28:34.290Z,ZEC,A,413.770000,0.14000000,0.000000,T
2025-11-05T06:28:32.263Z,ZEC,A,413.690000,0.04000000,0.000000,T
2025-11-05T06:28:27.452Z,ZEC,B,413.630000,0.10000000,0.006000,T
2025-11-05T06:28:24.034Z,ZEC,A,413.690000,0.10000000,0.000000,T
2025-11-05T06:27:56.978Z,ZEC,A,412.520000,6.46000000,-71.333904,T
2025-11-05T06:27:56.978Z,ZEC,A,412.530000,4.23000000,-46.667052,T
2025-11-05T06:27:56.978Z,ZEC,A,412.560000,0.56000000,-6.161344,T
2025-11-05T06:27:56.978Z,ZEC,A,412.560000,0.03000000,-0.330072,T
2025-11-05T06:27:56.978Z,ZEC,A,412.570000,3.64000000,-40.012336,T
2025-11-05T06:27:56.978Z,ZEC,A,412.650000,0.64000000,-6.983936,T
2025-11-05T06:26:13.814Z,ZEC,B,412.240000,0.14000000,0.000000,T
2025-11-05T06:26:13.814Z,ZEC,B,412.980000,0.14000000,0.000000,T
2025-11-05T06:26:13.814Z,ZEC,B,413.070000,0.14000000,0.000000,T
2025-11-05T06:24:19.197Z,ZEC,B,414.280000,0.14000000,0.000000,T
2025-11-05T06:24:19.197Z,ZEC,B,414.360000,0.14000000,0.000000,T
2025-11-05T06:23:13.284Z,ZEC,A,416.520000,0.14000000,-1.053052,T
2025-11-05T06:23:12.620Z,ZEC,A,416.440000,0.11000000,-0.836198,T
2025-11-05T06:23:12.014Z,ZEC,A,416.440000,0.03000000,-0.228054,T
2025-11-05T06:21:22.839Z,ZEC,B,414.490000,0.14000000,0.000000,T
2025-11-05T06:21:21.030Z,ZEC,B,414.580000,0.14000000,0.000000,T
2025-11-05T06:20:14.641Z,ZEC,B,417.050000,0.14000000,0.000000,T
2025-11-05T06:19:47.804Z,ZEC,B,417.800000,0.14000000,0.000000,T
2025-11-05T06:19:46.053Z,ZEC,B,417.890000,0.14000000,0.000000,T
2025-11-05T06:17:11.668Z,ZEC,A,414.520000,0.14000000,-1.385174,T
2025-11-05T06:17:11.668Z,ZEC,A,414.430000,0.14000000,-1.397774,T
2025-11-05T06:15:30.917Z,ZEC,B,413.570000,0.14000000,0.000000,T
2025-11-05T06:15:30.917Z,ZEC,B,413.650000,0.14000000,0.000000,T
2025-11-05T06:14:23.943Z,ZEC,A,416.140000,0.14000000,-1.187704,T
2025-11-05T06:13:22.932Z,ZEC,B,414.230000,0.14000000,0.000000,T
2025-11-05T06:13:21.115Z,ZEC,B,414.980000,0.14000000,0.000000,T
2025-11-05T06:13:18.502Z,ZEC,B,415.070000,0.14000000,0.000000,T
2025-11-05T06:06:30.347Z,ZEC,B,419.190000,0.14000000,0.000000,T
