time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T06:27:55.996Z,ZK,A,0.057151,26846.00000000,-81.907146,T
2025-11-05T06:27:55.996Z,ZK,A,0.057155,6480.00000000,-19.744560,T
2025-11-05T06:27:55.996Z,ZK,A,0.057156,4021.00000000,-12.247966,T
2025-11-05T06:27:55.996Z,ZK,A,0.057157,5999.00000000,-18.266955,T
2025-11-05T06:27:55.996Z,ZK,A,0.057168,4018.00000000,-12.190612,T
2025-11-05T06:27:55.996Z,ZK,A,0.057176,18100.00000000,-54.770600,T
2025-11-05T06:27:55.996Z,ZK,A,0.057176,18964.00000000,-57.385064,T
2025-11-05T06:27:55.996Z,ZK,A,0.057180,4018.00000000,-12.142396,T
2025-11-05T06:27:55.996Z,ZK,A,0.057188,1480.00000000,-4.460720,T
2025-11-05T06:27:55.996Z,ZK,A,0.057192,35028.00000000,-105.434280,T
2025-11-05T06:27:27.353Z,ZK,B,0.057208,1048.00000000,0.000000,T
2025-11-05T06:27:27.353Z,ZK,B,0.057220,1048.00000000,0.000000,T
2025-11-05T06:25:58.055Z,ZK,B,0.057410,1045.00000000,0.000000,T
2025-11-05T06:25:57.925Z,ZK,B,0.057421,1044.00000000,0.000000,T
2025-11-05T06:23:45.716Z,ZK,B,0.057699,825.00000000,0.000000,T
2025-11-05T06:23:45.025Z,ZK,B,0.057699,214.00000000,0.000000,T
2025-11-05T06:23:27.047Z,ZK,B,0.057803,1037.00000000,0.000000,T
2025-11-05T06:22:58.696Z,ZK,B,0.057815,1037.00000000,0.000000,T
2025-11-05T06:21:11.657Z,ZK,B,0.058000,1034.00000000,0.000000,T
2025-11-05T06:21:11.657Z,ZK,B,0.058011,1034.00000000,0.000000,T
2025-11-05T06:20:08.190Z,ZK,A,0.058222,1030.00000000,-2.255700,T
2025-11-05T06:20:07.196Z,ZK,A,0.058210,1030.00000000,-2.268060,T
2025-11-05T06:18:41.320Z,ZK,A,0.058080,1033.00000000,-2.408956,T
2025-11-05T06:18:34.147Z,ZK,A,0.058069,1033.00000000,-2.420319,T
2025-11-05T06:18:08.245Z,ZK,A,0.057848,1037.00000000,-2.658868,T
2025-11-05T06:18:03.058Z,ZK,A,0.057836,1037.00000000,-2.671312,T
2025-11-05T06:16:25.652Z,ZK,A,0.057762,1038.00000000,-2.750700,T
2025-11-05T06:16:23.910Z,ZK,A,0.057751,1038.00000000,-2.762118,T
2025-11-05T06:07:42.643Z,ZK,A,0.057865,1036.00000000,-2.638692,T
2025-11-05T06:07:42.643Z,ZK,A,0.057853,1037.00000000,-2.653683,T
2025-11-05T06:04:11.842Z,ZK,B,0.057992,821.00000000,0.000000,T
2025-11-05T06:03:59.036Z,ZK,B,0.057992,213.00000000,0.000000,T
2025-11-05T06:03:41.158Z,ZK,B,0.058096,1032.00000000,0.000000,T
2025-11-05T06:03:41.158Z,ZK,B,0.058108,1032.00000000,0.000000,T
2025-11-05T06:02:28.275Z,ZK,A,0.058550,1024.00000000,-1.967104,T
2025-11-05T06:02:27.412Z,ZK,A,0.058538,1024.00000000,-1.979392,T
2025-11-05T06:01:04.240Z,ZK,A,0.058489,520.00000000,-1.030640,T
2025-11-05T06:00:07.483Z,ZK,A,0.058489,505.00000000,-1.000910,T
2025-11-05T06:00:07.191Z,ZK,A,0.058477,1026.00000000,-2.045844,T
2025-11-05T05:58:17.615Z,ZK,B,0.058279,1029.00000000,0.000000,T
2025-11-05T05:52:22.341Z,ZK,A,0.058621,1023.00000000,-1.910964,T
2025-11-05T05:52:22.341Z,ZK,A,0.058609,1023.00000000,-1.923240,T
2025-11-05T05:50:02.732Z,ZK,A,0.058705,1022.00000000,-1.823248,T
2025-11-05T05:50:02.534Z,ZK,A,0.058694,1022.00000000,-1.834490,T
2025-11-05T05:49:04.004Z,ZK,A,0.058344,1028.00000000,-2.205060,T
2025-11-05T05:49:03.167Z,ZK,A,0.058332,1028.00000000,-2.217396,T
2025-11-05T05:47:56.582Z,ZK,B,0.058137,1032.00000000,0.000000,T
2025-11-05T05:47:56.582Z,ZK,B,0.058149,119.00000000,0.000000,T
2025-11-05T05:47:45.042Z,ZK,B,0.058149,212.00000000,0.000000,T
2025-11-05T05:47:38.030Z,ZK,B,0.058149,212.00000000,0.000000,T
2025-11-05T05:47:33.478Z,ZK,B,0.058149,488.00000000,0.000000,T
2025-11-05T05:46:02.083Z,ZK,B,0.058352,817.00000000,0.000000,T
2025-11-05T05:45:59.099Z,ZK,B,0.058352,211.00000000,0.000000,T
2025-11-05T05:45:31.581Z,ZK,B,0.058457,1026.00000000,0.000000,T
2025-11-05T05:45:29.673Z,ZK,B,0.058469,1026.00000000,0.000000,T
2025-11-05T05:42:33.920Z,ZK,A,0.058043,1033.00000000,-2.617622,T
2025-11-05T05:42:33.920Z,ZK,A,0.058032,1033.00000000,-2.628985,T
2025-11-05T05:42:01.261Z,ZK,A,0.057917,1035.00000000,-2.753100,T
2025-11-05T05:42:01.261Z,ZK,A,0.057905,1036.00000000,-2.768192,T
2025-11-05T05:39:45.856Z,ZK,B,0.057831,1037.00000000,0.000000,T
2025-11-05T05:39:45.856Z,ZK,B,0.057936,1035.00000000,0.000000,T
2025-11-05T05:39:45.856Z,ZK,B,0.057948,1035.00000000,0.000000,T
2025-11-05T05:39:05.684Z,ZK,B,0.058164,1031.00000000,0.000000,T
2025-11-05T05:39:05.588Z,ZK,B,0.058176,1031.00000000,0.000000,T
2025-11-05T05:35:53.678Z,ZK,B,0.058561,1024.00000000,0.000000,T
2025-11-05T05:35:53.678Z,ZK,B,0.058667,1022.00000000,0.000000,T
2025-11-05T05:35:46.834Z,ZK,B,0.058678,1022.00000000,0.000000,T
2025-11-05T05:34:41.246Z,ZK,B,0.058977,599.00000000,0.000000,T
2025-11-05T05:34:38.065Z,ZK,B,0.058977,209.00000000,0.000000,T
2025-11-05T05:34:29.080Z,ZK,B,0.058977,209.00000000,0.000000,T
2025-11-05T05:34:08.948Z,ZK,B,0.059083,503.00000000,0.000000,T
2025-11-05T05:34:08.885Z,ZK,B,0.059083,303.00000000,0.000000,T
2025-11-05T05:34:08.018Z,ZK,B,0.059083,209.00000000,0.000000,T
2025-11-05T05:34:04.287Z,ZK,B,0.059095,806.00000000,0.000000,T
2025-11-05T05:33:59.045Z,ZK,B,0.059095,209.00000000,0.000000,T
2025-11-05T05:33:09.894Z,ZK,A,0.059271,1012.00000000,-1.523060,T
2025-11-05T05:33:07.923Z,ZK,A,0.059259,1012.00000000,-1.535204,T
2025-11-05T05:31:42.366Z,ZK,B,0.058988,1017.00000000,0.000000,T
2025-11-05T05:31:11.313Z,ZK,B,0.059094,1015.00000000,0.000000,T
2025-11-05T05:31:08.735Z,ZK,B,0.059106,806.00000000,0.000000,T
2025-11-05T05:31:08.036Z,ZK,B,0.059106,209.00000000,0.000000,T
2025-11-05T05:28:14.971Z,ZK,A,0.059279,1012.00000000,-1.559492,T
2025-11-05T05:28:14.971Z,ZK,A,0.059267,1012.00000000,-1.571636,T
2025-11-05T05:21:38.053Z,ZK,B,0.059957,1000.00000000,0.000000,T
