time_iso,pair,side,price,size,net_pnl,maker
2025-11-05T06:25:06.797Z,HYPE,A,40.407000,1.40000000,1.029280,T
2025-11-05T06:24:26.398Z,HYPE,A,40.399000,0.95000000,0.690840,T
2025-11-05T06:24:26.284Z,HYPE,A,40.399000,0.45000000,0.327240,T
2025-11-05T06:21:15.904Z,HYPE,B,40.290000,1.40000000,0.000000,T
2025-11-05T06:21:14.305Z,HYPE,B,40.298000,1.40000000,0.000000,T
2025-11-05T06:19:14.173Z,HYPE,A,40.396000,1.40000000,1.047060,T
2025-11-05T06:19:12.829Z,HYPE,A,40.388000,1.40000000,1.035860,T
2025-11-05T06:17:57.033Z,HYPE,A,40.179000,1.40000000,0.743260,T
2025-11-05T06:17:56.797Z,HYPE,A,40.171000,1.40000000,0.732060,T
2025-11-05T06:14:22.200Z,HYPE,A,40.213000,1.40000000,0.790860,T
2025-11-05T06:14:06.766Z,HYPE,A,40.144000,1.40000000,0.694260,T
2025-11-05T06:04:04.073Z,HYPE,B,40.142000,1.40000000,0.000000,T
2025-11-05T06:03:33.070Z,HYPE,B,40.214000,1.40000000,0.000000,T
2025-11-05T06:03:32.992Z,HYPE,B,40.222000,1.40000000,0.000000,T
2025-11-05T05:52:10.280Z,HYPE,A,39.969000,1.50000000,0.525600,T
2025-11-05T05:52:00.994Z,HYPE,A,39.961000,1.50000000,0.513600,T
2025-11-05T05:45:16.798Z,HYPE,B,39.763000,1.50000000,0.000000,T
2025-11-05T05:45:16.798Z,HYPE,B,39.771000,1.50000000,0.000000,T
2025-11-05T05:38:56.814Z,HYPE,A,40.048000,1.40000000,0.609140,T
2025-11-05T05:38:56.814Z,HYPE,A,40.040000,1.40000000,0.597940,T
2025-11-05T05:37:18.861Z,HYPE,B,39.862000,1.50000000,0.000000,T
2025-11-05T05:37:18.861Z,HYPE,B,39.870000,1.50000000,0.000000,T
2025-11-05T05:35:51.032Z,HYPE,B,40.008000,1.40000000,0.000000,T
2025-11-05T05:35:50.777Z,HYPE,B,40.081000,1.40000000,0.000000,T
2025-11-05T05:35:48.644Z,HYPE,B,40.089000,1.40000000,0.000000,T
2025-11-05T05:35:08.731Z,HYPE,B,40.193000,1.40000000,0.000000,T
2025-11-05T05:35:08.555Z,HYPE,B,40.202000,1.40000000,0.000000,T
2025-11-05T05:25:34.525Z,HYPE,B,40.080000,1.40000000,0.000000,T
2025-11-05T05:25:28.745Z,HYPE,B,40.088000,1.40000000,0.000000,T
2025-11-05T05:18:02.530Z,HYPE,A,40.268000,1.40000000,1.032780,T
2025-11-05T05:18:02.530Z,HYPE,A,40.260000,1.40000000,1.021580,T
2025-11-05T05:16:58.742Z,HYPE,B,40.162000,1.40000000,0.000000,T
2025-11-05T05:16:42.742Z,HYPE,B,40.234000,1.40000000,0.000000,T
2025-11-05T05:16:38.472Z,HYPE,B,40.242000,1.40000000,0.000000,T
2025-11-05T05:15:54.494Z,HYPE,A,40.408000,1.40000000,1.289260,T
2025-11-05T05:15:54.494Z,HYPE,A,40.400000,1.40000000,1.278060,T
2025-11-05T05:11:10.358Z,HYPE,A,40.293000,1.40000000,1.128260,T
2025-11-05T05:11:10.264Z,HYPE,A,40.285000,1.40000000,1.117060,T
2025-11-05T05:07:40.738Z,HYPE,A,40.161000,1.40000000,0.943460,T
2025-11-05T04:56:15.847Z,HYPE,B,40.127000,1.40000000,0.000000,T
2025-11-05T04:56:15.847Z,HYPE,B,40.135000,1.40000000,0.000000,T
2025-11-05T04:54:58.912Z,HYPE,B,40.246000,1.40000000,0.000000,T
2025-11-05T04:54:55.668Z,HYPE,B,40.254000,1.40000000,0.000000,T
2025-11-05T04:53:28.495Z,HYPE,B,40.352000,1.40000000,0.000000,T
2025-11-05T04:53:28.295Z,HYPE,B,40.361000,1.40000000,0.000000,T
2025-11-05T04:51:28.329Z,HYPE,B,40.519000,1.40000000,0.000000,T
2025-11-05T04:51:25.252Z,HYPE,B,40.592000,1.40000000,0.000000,T
2025-11-05T04:51:25.252Z,HYPE,B,40.600000,1.40000000,0.000000,T
2025-11-05T04:49:55.375Z,HYPE,A,40.718000,1.40000000,1.975120,T
2025-11-05T04:49:55.375Z,HYPE,A,40.710000,1.40000000,1.963920,T
2025-11-05T04:49:14.969Z,HYPE,A,40.616000,1.40000000,1.832320,T
2025-11-05T04:47:23.167Z,HYPE,B,40.468000,1.40000000,0.000000,T
2025-11-05T04:47:22.156Z,HYPE,B,40.476000,1.40000000,0.000000,T
2025-11-05T04:44:07.673Z,HYPE,A,40.548000,1.40000000,1.810620,T
2025-11-05T04:44:06.969Z,HYPE,A,40.540000,1.40000000,1.799420,T
2025-11-05T04:37:10.195Z,HYPE,A,40.213000,1.40000000,1.341620,T
2025-11-05T04:37:10.195Z,HYPE,A,40.205000,1.40000000,1.330420,T
2025-11-05T04:32:14.156Z,HYPE,A,40.179000,1.40000000,1.294020,T
2025-11-05T04:32:08.825Z,HYPE,A,40.171000,1.40000000,1.282820,T
